name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,58000,Diesel,Dealer,Manual,First Owner,387799.97
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,15000,Diesel,Individual,Automatic,First Owner,1894409.96
Hyundai EON Era Plus,2012,54000,Petrol,Dealer,Manual,First Owner,230849.96
Volkswagen Ameo 1.5 TDI Highline,2017,56000,Diesel,Dealer,Manual,First Owner,696300.0
Maruti Alto LX,2006,120000,Petrol,Individual,Manual,Third Owner,65790.0
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,90000,LPG,Individual,Manual,Second Owner,94349.97
Maruti Alto LX,2012,70000,Petrol,Individual,Manual,Second Owner,143100.0
Hyundai Verna i (Petrol),2008,90000,Petrol,Individual,Manual,Second Owner,123850.0
Mahindra Renault Logan 1.5 DLS,2008,213000,Diesel,Individual,Manual,First Owner,178499.29
Chevrolet Optra Magnum 2.0 LS BSIII,2012,120000,Diesel,Individual,Manual,First Owner,217200.0
Mahindra Scorpio S11 BSIV,2017,20000,Diesel,Individual,Manual,First Owner,1225199.99
Hyundai i20 Active 1.2 SX,2017,10000,Petrol,Individual,Manual,First Owner,591299.99
Maruti SX4 Celebration Diesel,2012,80000,Diesel,Individual,Manual,Second Owner,254650.0
Hyundai Grand i10 Magna,2015,90000,Petrol,Individual,Manual,First Owner,366550.0
Maruti Alto LXi BSIII,2008,80000,Petrol,Individual,Manual,First Owner,116536.0
Maruti SX4 Zxi with Leather BSIII,2008,60000,Petrol,Individual,Manual,Second Owner,188402.0
Hyundai i10 Era,2011,139000,Petrol,Individual,Manual,Second Owner,190809.96
Toyota Innova 2.5 V Diesel 7-seater,2011,160000,Diesel,Individual,Manual,Second Owner,623419.96
Honda Mobilio V i DTEC,2014,150000,Diesel,Individual,Manual,First Owner,417600.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,163000,Diesel,Individual,Manual,Fourth & Above Owner,617000.0
Tata Indica V2 2001-2011 DLS BSIII,2009,120000,Diesel,Dealer,Manual,First Owner,91910.0
Tata Indica Vista TDI LS,2011,120000,Diesel,Individual,Manual,Second Owner,124950.0
Chevrolet Beat Diesel LS,2012,100000,Diesel,Individual,Manual,Second Owner,191959.97
Tata Zest Quadrajet 1.3 75PS XE,2015,140000,Diesel,Dealer,Manual,First Owner,356810.0
Skoda Fabia 1.2L Diesel Ambiente,2010,87000,Diesel,Dealer,Manual,Second Owner,230180.0
Maruti 800 Std,2013,70000,Petrol,Individual,Manual,First Owner,177600.0
Ford Figo Petrol Titanium,2015,50000,Petrol,Individual,Manual,Second Owner,304100.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,70000,Diesel,Individual,Manual,First Owner,1056650.0
Honda Mobilio V i DTEC,2014,150000,Diesel,Individual,Manual,First Owner,417600.0
Hyundai Grand i10 1.2 CRDi Asta,2018,25000,Diesel,Individual,Manual,First Owner,674599.99
Chevrolet Beat Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,140389.99
Datsun GO Plus T Option Petrol,2018,10000,Petrol,Individual,Manual,First Owner,424149.16
Hyundai Grand i10 1.2 Kappa Asta,2018,32000,Petrol,Individual,Manual,First Owner,499900.0
Maruti Omni MPI STD BSIV,2018,10000,Petrol,Individual,Manual,First Owner,221950.0
Maruti Baleno Alpha 1.2,2017,52000,Petrol,Dealer,Manual,First Owner,609990.0
Ford Fiesta Classic 1.4 SXI Duratorq,2006,120000,Diesel,Individual,Manual,Third Owner,113150.0
Hyundai Elite i20 Asta Option BSIV,2019,11240,Petrol,Individual,Manual,First Owner,782190.0
Hyundai Grand i10 CRDi Magna,2017,66000,Diesel,Dealer,Manual,First Owner,540040.0
Maruti Ertiga SHVS ZDI,2017,64000,Diesel,Dealer,Manual,First Owner,875250.0
Hyundai Santro Xing GL Plus,2013,49000,Petrol,Individual,Manual,First Owner,278702.5
Tata Sumo GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,118149.07
Renault KWID RXT,2018,26500,Petrol,Individual,Manual,First Owner,357950.0
Maruti 800 AC,2002,100000,Petrol,Individual,Manual,Second Owner,68254.99
Maruti Vitara Brezza LDi Option,2017,72000,Diesel,Dealer,Manual,First Owner,666799.99
Honda Jazz S,2009,50000,Petrol,Individual,Manual,First Owner,297900.0
Hyundai i20 1.4 Sportz,2017,44000,Diesel,Dealer,Manual,First Owner,663249.98
Maruti Ertiga SHVS ZDI Plus,2017,60000,Diesel,Individual,Manual,Second Owner,962440.0
Tata Sumo SE Plus BSIII,2002,120000,Diesel,Individual,Manual,First Owner,105099.8
Mahindra Xylo E4,2010,130000,Diesel,Individual,Manual,First Owner,234380.0
Maruti Swift ZDi BSIV,2017,70000,Diesel,Individual,Manual,First Owner,670450.0
Maruti Ertiga VXI,2014,20000,Petrol,Individual,Manual,First Owner,549809.98
Hyundai i20 1.4 Magna ABS,2009,60000,Diesel,Individual,Manual,Second Owner,210149.99
Maruti Alto LXi,2007,195000,Petrol,Individual,Manual,First Owner,118650.0
Maruti Alto LXi,2010,90000,Petrol,Individual,Manual,Second Owner,126880.0
Hyundai Getz GL,2006,80000,Petrol,Individual,Manual,Third Owner,127800.0
Maruti Wagon R LX BS IV,2011,155000,Petrol,Individual,Manual,First Owner,211869.93
Mahindra Bolero Power Plus SLX,2019,35000,Diesel,Individual,Manual,First Owner,865350.0
Hyundai i20 1.2 Spotz,2018,20000,Petrol,Individual,Manual,Second Owner,601349.99
Maruti Wagon R LXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,193003.32333333336
Maruti Alto 800 VXI,2017,20000,Petrol,Individual,Manual,First Owner,266019.9
Hyundai i20 Asta (o),2009,50000,Petrol,Individual,Manual,First Owner,291190.0
Hyundai i20 Asta,2010,110000,Petrol,Individual,Manual,Second Owner,263050.0
Hyundai Verna 1.6 SX CRDi (O),2013,29000,Diesel,Individual,Manual,First Owner,538399.98
Mahindra Xylo D2 BSIV,2013,120000,Diesel,Individual,Manual,First Owner,453700.0
Mahindra Bolero SLX 2WD BSIII,2011,70000,Diesel,Individual,Manual,Second Owner,390799.98
Maruti Ertiga VXI ABS,2013,40000,Petrol,Individual,Manual,First Owner,222037.99
Honda Brio 1.2 E MT,2017,20000,Petrol,Individual,Manual,First Owner,548329.99
Toyota Etios Liva G,2013,50000,Petrol,Individual,Manual,Second Owner,287469.42
Maruti Alto 800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,181734.0
Maruti Swift Dzire 1.2 Vxi BSIV,2012,49000,Petrol,Individual,Manual,Second Owner,365319.98
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,70000,Diesel,Individual,Automatic,Second Owner,655519.99
Mahindra Bolero SLX,2011,90000,Diesel,Individual,Manual,Second Owner,340009.98
Mahindra XUV500 W11 Option AWD,2020,25000,Diesel,Dealer,Manual,First Owner,1359500.0
Tata Tiago 1.2 Revotron XZ,2018,4000,Petrol,Individual,Manual,First Owner,496409.71
Mahindra Marazzo M8 8Str,2018,10000,Diesel,Individual,Manual,First Owner,1224590.0
Renault Duster 110PS Diesel RxL,2015,15000,Diesel,Individual,Manual,First Owner,778650.0
Hyundai EON Magna Plus,2018,30000,Petrol,Individual,Manual,First Owner,242496.26216666657
Maruti Wagon R VXI,2014,41000,Petrol,Dealer,Manual,First Owner,314520.0
